ADMIN,ADM0_A3,POP_EST,Cluster,x,y
Ethiopia,ETH,"105350020",East Africa,39.6005510349,8.6229517365
South Sudan,SDS,"13026129",East Africa,30.3011196122,7.2835307077
Kenya,KEN,"47615739",East Africa,37.8224399062,0.5507660771
Malawi,MWI,"19196246",Southern Africa,34.2899078034,-13.2172258647
United Republic of Tanzania,TZA,"53950935",East Africa,34.8135864205,-6.2750974811
Republic of the Congo,COG,"4954674",Central Africa,15.2183361559,-0.8388799891
Democratic Republic of the Congo,COD,"83301151",Central Africa,23.6451136542,-2.8797998732
Namibia,NAM,"2484780",Southern Africa,17.2111331974,-22.1292466387
South Africa,ZAF,"54841552",Southern Africa,25.0873644352,-29.0010321783
Zambia,ZMB,"15972000",Southern Africa,27.7742123348,-13.4601100184
Sierra Leone,SLE,"6163195",West Coast,-11.7950155783,8.5630858429
Guinea,GIN,"12413867",Sahel,-10.9430612660,10.4346490465
Liberia,LBR,"4689021",West Coast,-9.3198639933,6.4522325546
Central African Republic,CAF,"5625118",Central Africa,20.4648091971,6.5663218602
Sudan,SDN,"37345935",East Africa,29.9396178161,15.9868811652
Djibouti,DJI,"865267",East Africa,42.5664536523,11.7501558755
Eritrea,ERI,"5918919",East Africa,38.8529444447,15.3575137323
Ivory Coast,CIV,"24184810",West Coast,-5.5690001859,7.6279665166
Mali,MLI,"17885245",Sahel,-3.5390794120,17.3441627910
Senegal,SEN,"14668522",Sahel,-14.4713060276,14.3677885789
Nigeria,NGA,"190632261",West Coast,8.0912392761,9.5953148263
Benin,BEN,"11038805",West Coast,2.3287407309,9.6412166852
Angola,AGO,"29310273",Southern Africa,17.5369850124,-12.2923156909
Botswana,BWA,"2214858",Southern Africa,23.7989867328,-22.1857723210
Zimbabwe,ZWE,"13805084",Southern Africa,29.8518846206,-19.0025367100
Chad,TCD,"12075985",Sahel,18.6462511140,15.3330781051
Mozambique,MOZ,"26573706",Southern Africa,35.5381055325,-17.2700100269
eSwatini,SWZ,"1467152",Southern Africa,31.4800241030,-26.5619143490
Burundi,BDI,"11466756",East Africa,29.8750826944,-3.3574253364
Rwanda,RWA,"11901484",East Africa,29.9190607046,-1.9927505279
Uganda,UGA,"39570125",East Africa,32.3670398527,1.2756911925
Lesotho,LSO,"1958042",Southern Africa,28.2286229250,-29.5797304442
Cameroon,CMR,"24994885",Central Africa,12.7369841653,5.6930582058
Gabon,GAB,"1772255",Central Africa,11.7895692568,-0.5916559169
Niger,NER,"19245344",Sahel,9.3860339967,17.4184637710
Burkina Faso,BFA,"20107509",Sahel,-1.7555276953,12.2695539138
Togo,TGO,"7965055",West Coast,0.9622715996,8.5267882061
Ghana,GHA,"27499924",West Coast,-1.2165238314,7.9539547237
Guinea-Bissau,GNB,"1792338",Sahel,-14.9775137542,12.0269219033
Mauritania,MRT,"3758571",Sahel,-10.3433978757,20.2562181264
Equatorial Guinea,GNQ,"778358",Central Africa,10.3328854605,1.7069610400
Gambia,GMB,"2051363",Sahel,-15.3975820257,13.4497295586
Madagascar,MDG,"25054161",Indian Ocean Islands,46.7059983133,-19.3731675300
Comoros,COM,"808080",Indian Ocean Islands,43.6801631865,-11.8842162115
Sao Tome en Principe,STP,"201025",Central Africa,6.7264428742,0.4442600377
Cabo Verde,CPV,"560899",Sahel,-23.9672397663,15.9361402422
Somalia,SOM,"11031386",East Africa,45.8508314555,6.0626515860
