ADMIN,ADM0_A3,POP_EST
Ethiopia,ETH,"105350020"
South Sudan,SDS,"13026129"
Kenya,KEN,"47615739"
Malawi,MWI,"19196246"
United Republic of Tanzania,TZA,"53950935"
Republic of the Congo,COG,"4954674"
Democratic Republic of the Congo,COD,"83301151"
Namibia,NAM,"2484780"
South Africa,ZAF,"54841552"
Zambia,ZMB,"15972000"
Sierra Leone,SLE,"6163195"
Guinea,GIN,"12413867"
Liberia,LBR,"4689021"
Central African Republic,CAF,"5625118"
Sudan,SDN,"37345935"
Djibouti,DJI,"865267"
Eritrea,ERI,"5918919"
Ivory Coast,CIV,"24184810"
Mali,MLI,"17885245"
Senegal,SEN,"14668522"
Nigeria,NGA,"190632261"
Benin,BEN,"11038805"
Angola,AGO,"29310273"
Botswana,BWA,"2214858"
Zimbabwe,ZWE,"13805084"
Chad,TCD,"12075985"
Mozambique,MOZ,"26573706"
eSwatini,SWZ,"1467152"
Burundi,BDI,"11466756"
Rwanda,RWA,"11901484"
Uganda,UGA,"39570125"
Lesotho,LSO,"1958042"
Cameroon,CMR,"24994885"
Gabon,GAB,"1772255"
Niger,NER,"19245344"
Burkina Faso,BFA,"20107509"
Togo,TGO,"7965055"
Ghana,GHA,"27499924"
Guinea-Bissau,GNB,"1792338"
Mauritania,MRT,"3758571"
Equatorial Guinea,GNQ,"778358"
Gambia,GMB,"2051363"
Madagascar,MDG,"25054161"
Comoros,COM,"808080"
Sao Tome and Principe,STP,"201025"
Cabo Verde,CPV,"560899"
Somalia,SOM,"11031386"
